StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,StationName_Zh_tw,StationName_En,StationAddress_Zh_tw,StationAddress_En,PositionLon,PositionLat,GeoHash
TNN501316002,501316002,TNN,25,2,2023-05-17T15:27:15+08:00,2023-05-17T16:51:36+08:00,台江文化中心,Taikang Cultural Center,安中路二段136號(對側人行道),"No. 136, Sec. 2, Anzhong Rd.(Opposite)",120.18795,23.04617,wsj7ngqjw
TNN501316003,501316003,TNN,20,2,2023-05-17T16:14:17+08:00,2023-05-17T16:51:36+08:00,台江國家公園遊客中心,Taijiang National Park Headquarters,四草大道118號東側,"No. 118, Shichao Blvd.(East)",120.13935,23.00254,wsj6vg6z9
TNN501316004,501316004,TNN,20,2,2023-05-17T11:16:17+08:00,2023-05-17T16:51:36+08:00,四草綠色隧道,Sicao Mangrove Green Tunnel,大眾路360號南側,"No. 360, Dazhong Rd.(South)",120.13589,23.01927,wsj6vy82c
TNN501316006,501316006,TNN,20,2,2023-05-17T13:11:05+08:00,2023-05-17T16:51:36+08:00,媽祖宮公園,Luermen Matsu Temple Park,媽祖宮一街136號東南側,"No. 136, Mazugong 1st St.(Southeast)",120.12509,23.0366,wsj7j98mv
TNN501319001,501319001,TNN,20,2,2023-05-16T16:36:18+08:00,2023-05-17T16:51:36+08:00,葫蘆埤自然公園,Hulupi Natural Park,中山路二段207號,"No. 207, Sec.2, Zhongshan Rd.",120.29699,23.19837,wsjecrjs7
TNN501321002,501321002,TNN,21,2,2023-05-17T16:45:19+08:00,2023-05-17T16:51:36+08:00,平實公園,Pingshi Park,小東路513號南側,"No. 513, Xiaodong Rd.(South)",120.23606,22.99833,wsjdb49nz
TNN501321003,501321003,TNN,62,2,2023-05-17T16:49:17+08:00,2023-05-17T16:51:36+08:00,成大公園,Chengda Park,育樂街88號旁,"No. 88, Yule St.",120.21491,22.99653,wsj6zd3u6
TNN501321004,501321004,TNN,30,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,成大會館,Zenda Suites,勝利路/大學路口(東南側),Shenli Rd./Daxue Rd.,120.21822,22.99614,wsj6zdk4p
TNN501321005,501321005,TNN,30,2,2023-05-17T16:49:17+08:00,2023-05-17T16:51:36+08:00,馬雅各青年公園,James Laidlaw Maxwell Qingnian Park,青年路360號(對側人行道),"No. 360, Qingnian Rd.(Opposite)",120.21502,22.99139,wsj6z93ys
TNN501321006,501321006,TNN,20,2,2023-05-17T16:51:05+08:00,2023-05-17T16:51:36+08:00,東寧運動公園,Dongning  Park,東寧路220號北側,"No. 220, Dongning Rd.(North)",120.22462,22.99114,wsj6zc2vh
TNN501321007,501321007,TNN,20,2,2023-05-17T16:38:17+08:00,2023-05-17T16:51:36+08:00,衛生局(林森辦公室),Public Health Bureau (Linsen Office),林森路一段418號旁,"No. 418, Sec. 1, linsen Rd.",120.22246,22.98537,wsj6z8r76
TNN501321008,501321008,TNN,20,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,時代公園,Dongning Yunong Rd. Intersection,東寧路520號北側,"No. 520, Dongning Rd.(North)",120.23116,22.98929,wsj6zcjdm
TNN501321009,501321009,TNN,22,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,虎尾寮市場,Hu-Wei-Liao Market,裕平路/裕和二街(西北側),Yuping Rd. & Yuhe 2nd St.(Northwest),120.2409,22.98509,wsjdb0kcb
TNN501321010,501321010,TNN,24,2,2023-05-17T15:59:17+08:00,2023-05-17T16:51:36+08:00,裕文圖書館,Yuwen Branch Library,裕文路301號(對側人行道),"No. 301, Yuwen Rd.(Opposite)",120.24588,22.98218,wsjd8rb2u
TNN501321011,501321011,TNN,20,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,德光公園,Deguang Park,崇德路111號,"No. 111, Chongde Rd.",120.21934,22.97976,wsj6xxm4c
TNN501321012,501321012,TNN,15,2,2023-05-17T16:28:16+08:00,2023-05-17T16:51:36+08:00,和平公園,Heping Park,文化路100號前,"No. 100, Wenhua Rd.",120.23231,22.97705,wsj6xyy7p
TNN501321014,501321014,TNN,25,2,2023-05-17T16:49:17+08:00,2023-05-17T16:51:36+08:00,崇明路停E6,Chongming Rd. E6 Parking Lot,崇明路/崇明二十街(西南側),Chongmin Rd. & Chongmin 20th St.(Southwest),120.22558,22.96897,wsj6xv3eg
TNN501321015,501321015,TNN,18,2,2023-04-10T10:47:04+08:00,2023-05-17T16:51:36+08:00,臺南監理站,"Tainan Station, Chiayi Motor Vehicles Office",崇德路1號前,"No. 1, Chongde Rd.",120.21782,22.98139,wsj6xxeuq
TNN501321016,501321016,TNN,20,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,車鑑會,Tainan City Traffic Accident Investigation Committee,府連東路/林森路一段口(西北側),"Fulian E. Rd. & Sec. 1, Linsen Rd.(Northwest)",120.21946,22.98372,wsj6z8j1u
TNN501321017,501321017,TNN,19,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,大學路停車場,Daxue Rd. Parking Lot,大學路西段/育樂街66巷口,"Daxue Rd. W. & Ln. 66, Yule St. Intersection",120.2158,22.99657,wsj6zd6kx
TNN501321018,501321018,TNN,24,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,臺南一中,Tannan First Senior High School,勝利路/東寧路口(東北側),Shengli Rd. & Dongning Rd. Intersection(Northeast),120.21789,22.99271,wsj6z9eyp
TNN501321019,501321019,TNN,14,2,2023-05-17T16:40:25+08:00,2023-05-17T16:51:36+08:00,忠孝國中(崇仁龍山),Jhongsiao Junior High School(Chongren Longshan St. Intersection),崇仁街72號前,"No. 72, Chongren St.",120.22339,22.98396,wsj6zb052
TNN501321020,501321020,TNN,15,2,2023-05-17T16:46:19+08:00,2023-05-17T16:51:36+08:00,文化公園,Wenhua Park,文化二街/文化一街(東北側),Wenhua 2nd St. & Wenhua 1st St. Intersection(Northeast),120.23104,22.977899999999998,wsj6xyvxf
TNN501321023,501321023,TNN,20,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,東興公園(東安路251巷),"Dongsing Park(Ln. 251, Dong'an Rd.)",東安路251巷60號(對側人行道),"No. 60, Ln. 251, Dong'an Rd.(Opposite)",120.22565,22.99684,wsj6zf3wk
TNN501321024,501321024,TNN,20,2,2023-05-17T16:42:17+08:00,2023-05-17T16:51:36+08:00,東興公園(林森路),Dongsing Park(Linsen Rd.),林森路二段/東和路口(東南側),"Sec. 2, Linsen Rd. & Donghe Rd.(Southeast)",120.22444,22.99765,wsj6zf8g0
TNN501321025,501321025,TNN,80,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,臺南車站(前站一),Tainan Sta.(Front#1),北門路二段12號旁,"No. 17, Sec. 2, Beimen Rd.",120.21238,22.99797,wsj6z6xuz
TNN501321031,501321031,TNN,22,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,榮譽街停車場(崇明路308巷口),"Rongyu St. Parking Lot(Ln. 308, Chongming Rd. Intersection)",崇明路304號西南側,"No. 304, Chongming Rd.(Southwest)",120.21982,22.97737,wsj6xwvku
TNN501323001,501323001,TNN,20,2,2023-05-17T16:39:17+08:00,2023-05-17T16:51:36+08:00,水萍塭公園(夏林路),Shueipingwen Park(Xialin Rd.),夏林路1-7號(對側人行道),"No. 1-7, Xialin Rd. (Opposite)",120.19475,22.98615,wsj6z0e0h
TNN501323002,501323002,TNN,30,2,2023-05-17T16:44:17+08:00,2023-05-17T16:51:36+08:00,臺南高商,National Tainan Commercial Vocational Senior High School,南門路/健康路一段口(西南側),"Nanmen Rd. & Sec. 1, Jiankang Rd.(Southwest)",120.20353,22.98066,wsj6xr981
TNN501323003,501323003,TNN,21,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,忠烈祠,Tainan Martyrs' Shrine,健康路一段48號(對側人行道),"No. 48, Sec. 1, Jiankang Rd.(Opposite)",120.21054,22.98117,wsj6xrweh
TNN501323004,501323004,TNN,20,2,2023-05-17T16:40:25+08:00,2023-05-17T16:51:36+08:00,日新國小,Rihsin Elementary School,金華路一段476號(對側人行道),"No. 476, Sec. 1, Jinhua Rd.(Opposite)",120.19054,22.97271,wsj6xn01d
TNN501323005,501323005,TNN,20,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,鹽埕圖書館,Yancheng Library,新和東路51號(對側人行道),"No. 51, Xinhe E. Rd.(Opposite)",120.18786,22.96742,wsj6wvn4u
TNN501323006,501323006,TNN,20,2,2023-05-17T15:19:16+08:00,2023-05-17T16:51:36+08:00,南區區公所(公兒26公園),South District Office(No.26 Park),中華南路二段251號旁,"No. 251, Sec. 2, Zhonghua S. Rd.",120.18743,22.96154,wsj6wujbd
TNN501323007,501323007,TNN,21,2,2023-05-17T16:36:18+08:00,2023-05-17T16:51:36+08:00,新興國小,Xingxing Elementary School,夏林路248號(對側人行道),"No. 248, Xialin Rd.(Opposite)",120.1953,22.9786,wsj6xp5s1
TNN501323008,501323008,TNN,20,2,2023-05-17T12:12:15+08:00,2023-05-17T16:51:36+08:00,黃金海岸,Gold Coast Visitor Center,黃金海岸遊客中心(南側廣場),South Plaza,120.17631,22.93058,wsj6qwmsq
TNN501323009,501323009,TNN,20,2,2023-05-17T16:34:18+08:00,2023-05-17T16:51:36+08:00,萬年公園,Wannian Park,灣裡路與灣裡路61巷(萬年公園侯車亭旁),"Wanli Rd. & Ln. 61, Wanli Rd. Intersection",120.18056,22.93306,wsj6qybff
TNN501323010,501323010,TNN,17,2,2023-05-17T16:33:18+08:00,2023-05-17T16:51:36+08:00,水萍塭公園(金華路),Shueipingwen Park(Jinhua Rd.),金華路二段381號東側,"No. 381, Sec. 2, Jinhua Rd.(Opposite)",120.19201,22.98633,wsj6z091h
TNN501323012,501323012,TNN,20,2,2023-05-17T16:48:16+08:00,2023-05-17T16:51:36+08:00,瀨口公園,Laikou Park,中華西路一段438號(對側人行道),"No. 438, Sec. 1, Zhonghua W. Rd.",120.18636,22.9854,wsj6ybm59
TNN501323013,501323013,TNN,20,2,2023-05-17T16:42:17+08:00,2023-05-17T16:51:36+08:00,健康綠洲公園,Oasis Park,仁南街/仁南一街口,Rennan St. & Rennan 1st St. Intersection,120.18433,22.98286,wsj6wzgsc
TNN501323014,501323014,TNN,20,2,2023-05-17T16:30:59+08:00,2023-05-17T16:51:36+08:00,興昌水交社,Xingchang Shuijiaoshe Rd. Intersection,興昌路/水交社路口(北側),Xingchang Rd. & Shuijiaoshe Rd. Intersection(North),120.20046,22.97682,wsj6xnz39
TNN501323015,501323015,TNN,16,2,2023-05-17T11:15:16+08:00,2023-05-17T16:51:36+08:00,水交社文創園區,Shuijiaoshe Cultural Park,水交社一街/興中街63巷口(西南側),"Shuijiaoshe 1st St. & Ln. 63, Xingzhong St. Intersection(Southwest)",120.20157,22.978180000000002,wsj6xr01e
TNN501323016,501323016,TNN,13,2,2023-05-17T16:30:42+08:00,2023-05-17T16:51:36+08:00,西門健康停車場,Ximen Jiankang Parking Lot,西門路一段469號,"No. 469, Sec. 1, Ximen Rd.",120.19737,22.98155,wsj6xptj1
TNN501323017,501323017,TNN,15,2,2023-05-17T16:40:25+08:00,2023-05-17T16:51:36+08:00,文華公園,Wenhua Park,永華路一段275號,"No. 275, Sec. 1, Yonghua Rd.",120.18956,22.98852,wsj6ybzmg
TNN501323018,501323018,TNN,18,2,2023-05-17T16:43:17+08:00,2023-05-17T16:51:36+08:00,亞洲餐旅,Asia Senior Hospitality Vocational School,大成路一段5號,"No. 5, Sec. 1, Dacheng Rd.",120.20288,22.97497,wsj6xq3nf
TNN501323019,501323019,TNN,21,2,2023-05-17T16:13:05+08:00,2023-05-17T16:51:36+08:00,南寧高中,Nan-ning Junior High School,萬年路165號前,"No. 165, Wannian Rd.",120.18588,22.93491,wsj6qzhtt
TNN501327002,501327002,TNN,18,2,2023-05-17T12:08:15+08:00,2023-05-17T16:51:36+08:00,麻豆區衛生所,Madou District Public Health Center,興國路11-1號南側,"No. 11-1, Xingguo Rd.(South)",120.2482,23.18229,wsjebk4nd
TNN501328001,501328001,TNN,20,2,2023-05-17T13:21:19+08:00,2023-05-17T16:51:36+08:00,南科台積電(十四A),TSMC (Fab-14A),南科北路/南科八路口(西北側),Nanke N. Rd. & Nanke 8th Rd.(Northwest),120.27483,23.1145,wsje2zv7w
TNN501328002,501328002,TNN,20,2,2023-05-17T16:01:18+08:00,2023-05-17T16:51:36+08:00,霞客湖,Xiake Lake,南科七路/三抱竹路口(東南側),Nanke 7th Rd. & Sanbaozhu Rd. Intersection(Southeast),120.26996,23.10799,wsje2y9vv
TNN501328003,501328003,TNN,20,2,2023-05-17T14:56:16+08:00,2023-05-17T16:51:36+08:00,南科健康生活館,STSP Wellness Center,環東路二段20號前,"No. 20, Huandong Rd.",120.28186,23.11406,wsje3pf94
TNN501328004,501328004,TNN,20,2,2023-05-17T16:45:19+08:00,2023-05-17T16:51:36+08:00,善化車站,Shanhua Sta.,中山路20號前,"No. 20, Zhongshan Rd.",120.30599,23.13364,wsje9ek5h
TNN501328005,501328005,TNN,20,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,善化高中,Shan-Hua Senior High School,大成路160號對側,"No. 160, Dacheng Rd.(Opposite)",120.30167,23.13015,wsje9d9nb
TNN501328006,501328006,TNN,20,2,2023-05-17T15:42:16+08:00,2023-05-17T16:51:36+08:00,南科車站,Nanke Sta.,臺鐵南科站(西出口西拉雅大橋下),Nanke Sta.(West),120.30206,23.10788,wsje3w9m1
TNN501329001,501329001,TNN,20,2,2023-05-17T16:18:19+08:00,2023-05-17T16:51:36+08:00,新化武德殿,Xinhua Wude Temple,和平街53號前,"No. 53, Heping St.",120.30926,23.03355,wsje19ns0
TNN501329003,501329003,TNN,15,2,2023-05-15T20:18:17+08:00,2023-05-17T16:51:36+08:00,新化體育公園,Xinhua Sport Park,公園路110號,"No. 110, Gongyuan Rd.",120.30652,23.02954,wsje18ksc
TNN501329004,501329004,TNN,20,2,2023-05-17T15:26:17+08:00,2023-05-17T16:51:36+08:00,新化國中,Xinhua Junior High School,民生路43號東側,"No. 43, Minsheng Rd.(East)",120.31153,23.03562,wsje1c80j
TNN501329006,501329006,TNN,20,2,2023-05-17T15:54:18+08:00,2023-05-17T16:51:36+08:00,大智路豐榮洋子(活動中心),Dazhi Rd. Fengrong Yangzi (Activity Center),新化區豐榮里洋子164號,"No. 164, Yangzi, Fengrong Village, Xinhua Dist.",120.29797,23.03371,wsje13nm1
TNN501330001,501330001,TNN,20,2,2023-05-17T16:41:18+08:00,2023-05-17T16:51:36+08:00,南科管理局,STSP Bureau,南科三路17號前,"No. 17, Nanke 3rd Rd.",120.28203,23.09865,wsje3hfxq
TNN501330002,501330002,TNN,20,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,新市車站,Xinshi Sta.,中華路1號(東北側),"No. 1, Zhonghua Rd.(Northeast)",120.2902169,23.06834369,wsje1r2wv
TNN501330003,501330003,TNN,18,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,臺灣史前博物館(南科考古館),"Museum of Archaeology, Tainan Branch of National Museum of Prehistory",南科三路10號(北側停車場前),"No. 10, Nanke 3rd Rd.(North)",120.28391,23.10189,wsje3js46
TNN501330004,501330004,TNN,22,2,2023-05-17T16:36:05+08:00,2023-05-17T16:51:36+08:00,南科社區中心,STSP Community Center,大順三路125號前,"No. 125, Dashun 3rd Rd.",120.28843,23.10225,wsje3jxk7
TNN501330005,501330005,TNN,17,2,2023-05-17T16:25:18+08:00,2023-05-17T16:51:36+08:00,新市區公所,Sinshih District Office,中興街12號,"No. 12, Zhongxing St.",120.29502,23.07883,wsje33k5v
TNN501331001,501331001,TNN,22,2,2023-05-17T16:41:18+08:00,2023-05-17T16:51:36+08:00,新營美術園區,Xinying Art Park,公園路一段/中華路口,"Sec. 1, Gongyuan Rd. & Zhonghua Rd. Intersection",120.30632,23.30503,wsjs9ds3s
TNN501331002,501331002,TNN,28,2,2023-05-17T16:47:16+08:00,2023-05-17T16:51:36+08:00,新營高中,Sinying Senior High School,民權路101號(南側),"No. 101, Minquan Rd.(South)",120.31223,23.3079,wsjs9g0dq
TNN501331004,501331004,TNN,34,2,2023-05-17T16:48:16+08:00,2023-05-17T16:51:36+08:00,新營車站,Xinying Sta.,中山路1號(東南側),"No. 1, Zhongshan Rd.(Southeast)",120.32277,23.30647,wsjsd4b65
TNN501331005,501331005,TNN,15,2,2023-05-17T10:28:15+08:00,2023-05-17T16:51:36+08:00,天鵝湖公園,Swan Lake Park,中正路556-1號(停車場入口旁),"No. 556-1, Zhongzheng Rd.",120.31718,23.33157,wsjs9zkk1
TNN501331006,501331006,TNN,30,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,臺南市政府(民治中心),Tainan City Government (Minchi Center),民治路36號前,"No. 36, Minzhi Rd.",120.3146244,23.3110517,wsjs9gdkt
TNN501331007,501331007,TNN,20,2,2023-05-17T15:13:16+08:00,2023-05-17T16:51:36+08:00,新營轉運站,Xinying Transfer Sta.,新運二路/新運五路(東北側),Xinyun 2nd Rd. & Xinyun 5th Rd. Intersection(Northeast),120.28218,23.31069,wsjs95df9
TNN501331008,501331008,TNN,20,2,2023-05-17T16:42:17+08:00,2023-05-17T16:51:36+08:00,南新國中,Nanxin Junior High School,民治路150號(對側人行道),"No. 150, Minzhi Rd.(Opposite)",120.30762,23.30933,wsjs9em6d
TNN501331010,501331010,TNN,18,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,衛生局(東興辦公室),Public Health Bureau (Dongxing Office),東興路163號,"No. 163, Dongxing Rd.",120.32299,23.31511,wsjsdh2s2
TNN501331012,501331012,TNN,20,2,2023-05-17T16:37:16+08:00,2023-05-17T16:51:36+08:00,新營體育場第二停車場,Tainan Municipal Xinying Stadium 2nd Parking Lot,長榮路二段/健康路口,"Sec. 2, Changrong Rd. & Jiankang Rd. Intersection",120.31187,23.31984,wsjs9v0rv
TNN501335001,501335001,TNN,18,2,2023-05-17T15:01:17+08:00,2023-05-17T16:51:36+08:00,大臺南會展中心,ICC Tainan,歸仁十二路3號北側,Wudang Rd. & Guiren 12th Rd. Intersection(Northwest),120.28535,22.92226,wsjd3hv5g
TNN501335002,501335002,TNN,20,2,2023-05-17T15:47:15+08:00,2023-05-17T16:51:36+08:00,陽明交通大學(臺南校區),NYCU Tainan Campus,高發三路(北向人行道),Gaofa 3rd Rd.,120.2945475,22.9247914,wsjd3m7fd
TNN501335003,501335003,TNN,20,2,2023-05-17T16:22:16+08:00,2023-05-17T16:51:36+08:00,歸仁區公所(中正北路),Gueiren District Office(Zhongzheng N. Rd.),中正北路一段11號旁,"No. 11, Sec. 1, Zhongzheng N. Rd.",120.2946344,22.9672983,wsjd9m5fh
